movieid,title,country,year_released,runtime
653,National Velvet,us,1944,123
654,Network,us,1976,121
655,Night Moves,us,1975,99
656,The Night of the Hunter,us,1955,92
657,A Night to Remember,gb,1958,123
658,A Nightmare on Elm Street,us,1984,91
659,Nobody's Fool,us,1994,110
660,Norma Rae,us,1979,110
661,Nothing but the Best,gb,1964,99
662,"Now, Voyager",us,1942,117
663,The Nun's Story,us,1959,149
664,Odd Man Out,gb,1947,116
665,Oklahoma!,us,1955,145
666,On the Beach,us,1959,134
667,On the Town,us,1949,98
668,One False Move,us,1992,105
669,One Foot in Heaven,us,1941,108
670,One Hour with You,us,1932,80
671,"One Potato, Two Potato",us,1964,83
672,Back Street,us,1961,107
673,Only Angels Have Wings,us,1939,121
674,The Opposite of Sex,us,1998,101
675,Our Town,us,1940,90
676,Out of the Past,us,1947,97
677,The Outlaw Josey Wales,us,1976,135
678,The Ox-Bow Incident,us,1943,75
679,Paint Your Wagon,us,1969,154
680,The Parallax View,us,1974,102
681,A Passage to India,gb,1984,163
682,Paths of Glory,us,1957,88
683,Payday,us,1972,123
684,The People vs. Larry Flynt,us,1996,129
685,Persuasion,gb,1995,104
686,The Philadelphia Story,us,1940,112
687,The Pianist,de,2002,150
688,The Firm,us,1993,154
689,Pickup on South Street,us,1953,80
690,Pillow Talk,us,1959,102
691,Pinocchio,us,1940,88
692,A Place in the Sun,us,1951,122
693,The Player,us,1992,124
694,Playtime,fr,1967,124
695,Point Blank,us,1967,92
696,Poltergeist,us,1982,114
697,Il postino,it,1994,108
698,The Postman Always Rings Twice,us,1946,113
699,Pretty Baby,us,1978,109
700,Pride and Prejudice,us,1940,117
701,The Pride of the Yankees: The Life of Lou Gehrig,us,1942,128
702,Prince of the City,us,1981,167
703,The Private Life of Henry VIII,gb,1933,97
704,Prizzi's Honor,us,1985,130
705,The Producers,us,1967,88
706,The Purple Rose of Cairo,us,1985,82
707,Pygmalion,gb,1938,96
708,Quadrophenia,gb,1979,120
709,The Quiet Man,us,1952,129
710,Raging Bull,us,1980,129
711,Raiders of the Lost Ark,us,1981,115
712,Dà Hóng Dēnglong Gāogāo Guà,cn,1991,125
713,Raising Arizona,us,1987,94
714,Witness,us,1985,112
715,The Rapture,us,1991,100
716,Rebel Without a Cause,us,1955,111
717,The Red Badge of Courage,us,1951,120
718,Red River,us,1948,133
719,The Red Shoes,gb,1948,133
720,The Remains of the Day,us,1993,134
721,Repo Man,us,1984,92
722,Repulsion,gb,1965,105
723,Reservoir Dogs,us,1992,99
724,"Reuben, Reuben",us,1983,101
725,Reversal of Fortune,us,1990,111
726,Ride the High Country,us,1962,102
727,The Right Stuff,us,1983,192
728,Rocco e i suoi fratelli,it,1960,177
729,Roman Holiday,us,1953,118
730,Romeo and Juliet,us,1936,125
731,Romeo and Juliet,gb,1968,138
732,Room at the Top,gb,1959,115
733,The Rose Tattoo,us,1955,117
734,Rosemary's Baby,us,1968,136
735,Ruggles of Red Gap,us,1935,90
736,Rushmore,us,1998,93
737,Ruthless People,us,1986,93
738,Sahara,us,1943,97
739,Salesman,us,1969,85
740,Saturday Night Fever,us,1977,116
741,Saving Private Ryan,us,1998,169
742,Say Anything…,us,1989,100
743,Sayonara,us,1957,147
744,The Scoundrel,us,1935,76
745,Secrets & Lies,gb,1996,142
746,Sergeant York,us,1941,134
747,Serpico,us,1973,130
748,Cleopatra,us,1963,248
749,The Set-Up,us,1949,72
750,Seven Brides for Seven Brothers,us,1954,102
751,Seven Days to Noon,gb,1950,94
752,The Seven Year Itch,us,1955,105
753,Shadow of a Doubt,us,1943,108
754,Second Chance,us,1953,82
755,She Wore a Yellow Ribbon,us,1949,103
756,She's Gotta Have It,us,1986,84
757,The Shining,us,1980,146
758,Ship of Fools,us,1965,149
759,Shock Corridor,us,1963,101
760,The Shooting Party,gb,1985,98
761,The Shootist,us,1976,100
762,The Shop Around the Corner,us,1940,99
763,Sid and Nancy,gb,1986,114
764,Le Monde du silence,fr,1956,86
765,Silk Stockings,us,1957,117
766,Sleeper,us,1973,87
767,Smile,us,1975,117
768,Cyrano de Bergerac,us,1950,113
769,South Pacific,us,1958,171
770,Spellbound,us,1945,111
771,The Spiral Staircase,us,1946,83
772,Stage Door,us,1937,92
773,Stagecoach,us,1939,96
774,Stalag 17,us,1953,120
775,A Star Is Born,us,1937,111
776,Star Trek II: The Wrath of Khan,us,1982,112
