name
Stéphane Aubier
Cécile Aubry
Michel Auclair
Jacques Audiard
Eleanor Audley
Maxine Audley
Stéphane Audran
Pascale Audret
Mischa Auer
Claudine Auger
Bille August
Pernilla August
Ewa Aulin
Marie Ault
Jean-Pierre Aumont
Michel Aumont
Tina Aumont
Nora Aunor
Steve Austin
William Austin
Claude Autant-Lara
Daniel Auteuil
Paulo Autran
Gene Autry
Emilie Autumn
Aram Avakian
Frankie Avalon
Roger Avary
Serge Avedikian
Giambattista Avellino
Ilya Averbakh
Margaret Avery
Tex Avery
Val Avery
John G. Avildsen
Jon Avnet
Lavigne Avril
Alejandro Awada
Chikage Awashima
Eddie Axberg
Gabriel Axel
Gō Ayano
Haruka Ayase
Nicki Aycox
David Ayer
Dan Aykroyd
Reiko Aylesworth
Felix Aylmer
Richard Ayoade
Nabil Ayouch
Leah Ayres
Lew Ayres
Rosalind Ayres
Rochelle Aytes
Lubna Azabal
Hank Azaria
Azeez
Dionísio Azevedo
Shabana Azmi
Tanvi Azmi
Charles Aznavour
Lisa Azuelos
Chiyonosuke Azuma
Candice Azzara
Sabine Azéma
Karim Aïnouz
Jazzy B
Mel B
Plan B
Heather B.
B. P. Paquette
Obba Babatundé
Raj Babbar
Héctor Babenco
Parveen Babi
Géla Babluani
Boris Babochkin
Jagapati Babu
Mohan Babu
Prasad Babu
Raja Babu
Sarath Babu
Sobhan Babu
Lauren Bacall
Morena Baccarin
Barbara Bach
Abhishek Bachchan
Amitabh Bachchan
Jaya Bachchan
Sadek Bachchu
Andrew Bachelor
Brian Backer
P. A. Backer
Jim Backus
Richard Backus
Don Backy
Olga Baclanova
Kevin Bacon
Lloyd Bacon
Jean-Pierre Bacri
Michael Badalucco
Angela Baddeley
Hermione Baddeley
Alan Badel
Badema
Nina Baden-Semper
Diedrich Bader
Clarence G. Badger
Penn Badgley
John Badham
Mary Badham
Affif Badra
Erykah Badu
Seong-woo Bae
Soo-bin Bae
Edouard Baer
Harry Baer
Parley Baer
Veerle Baetens
Joan Baez
Ross Bagley
Vernel Bagneris
Bahadoor
Yavor Baharov
Mohnish Bahl
Vikas Bahl
Maxine Bahns
Baihe Bai
Ju-Gang Bai
Pandari Bai
Yang Bai
Zhangyi Bai
G.W. Bailey
Pearl Bailey
Raymond Bailey
David Bailie
Fay Bainter
Scott Baio
Diora Baird
Stuart Baird
Chieko Baisho
Mitsuko Baisho
Juanma Bajo Ulloa
Piaa Bajpai
Manoj Bajpayee
Arjan Bajwa
Ariyon Bakare
Belle Baker
Betsy Baker
Carroll Baker
Diane Baker
Dylan Baker
George Baker
Hylda Baker
Joe Don Baker
Kathy Baker
Kenny Baker
Phil Baker
Robert S. Baker
Roy Ward Baker
Sala Baker
Simon Baker
Stanley Baker
William Bakewell
Brenda Bakke
Ishaya Bako
Ralph Bakshi
Scott Bakula
Vincent Bal
Bala
Bob Balaban
Aleksei Balabanov
K. Balachander
Sundaram Balachander
Patrick Baladi
Jaume Balagueró
Balaiah
T. S. Balaiah
K. Balaji
Nandamuri Balakrishna
Vidya Balan
Belinda Balaski
Josiane Balasko
S. P. Balasubrahmanyam
Max Baldry
Adam Baldwin
Alec Baldwin
Daniel Baldwin
Stephen Baldwin
William Baldwin
Christian Bale
Betty Balfour
Eric Balfour
Jeanne Balibar
Ina Balin
Eszter Balint
Fairuza Balk
Angeline Ball
Lucille Ball
Suzan Ball
Wes Ball
Carl Ballantine
Linda Ballantyne
Carroll Ballard
Erik Balling
Jean-François Balmer
Zainab Balogun
Martin Balsam
Robert Balser
Lajos Balázsovits
Eric Bana
Anne Bancroft
George Bancroft
Tony Bancroft
Biyi Bandele
Antonio Banderas
Mitsugoro Bando
Bhanu Bandopadhyay
Haradhan Bandopadhyay
Karuna Bandyopadhyay
Dibakar Banerjee
Kanu Banerjee
Karuna Banerjee
Rahul Banerjee
Sarvadaman Banerjee
Victor Banerjee
Carolina Bang
Claes Bang
Indra Bania
Mira Banjac
Tallulah Bankhead
Elizabeth Banks
Jonathan Banks
Leslie Banks
Monty Banks
Ian Bannen
David Banner
Jill Banner
Sarah Bannier
Naseem Banu
Saira Banu
Bei'er Bao
Beier Bao
Guo'an Bao
Jianfeng Bao
Bapu
Ivana Baquero
Theda Bara
Henry Barakat
Henryk Baranowski
Christine Baranski
Adrienne Barbeau
Joseph Barbera
Katie Barberi
Christian Barbier
Don Barclay
Mary Barclay
Roy Barcroft
Ben Bard
Carlos Bardem
Javier Bardem
Juan Antonio Bardem
Miguel Bardem
Jessica Barden
Aleksander Bardini
Brigitte Bardot
Mijanou Bardot
Richard L. Bare
Arija Bareikis
Tawfeek Barhom
Lynn Bari
Norah Baring
Ike Barinholtz
Sooraj R. Barjatya
Geoffrey Barkas
Clive Barker
Eric Barker
Lex Barker
Mike Barker
Reginald Barker
Ronnie Barker
Ellen Barkin
Reginald Barlow
Tim Barlow
Aneurin Barnard
Ben Barnes
Binnie Barnes
Chris Barnes
Christopher Daniel Barnes
Joanna Barnes
Priscilla Barnes
Boris Barnet
Samuel Barnett
Ivan Barnev
Ruby Barnhill
Daniel Barnz
Sacha Baron Cohen
Juliana Baroni
Lucien Baroux
Byron Barr
Jean-Marc Barr
Roseanne Barr
María Barranco
Christophe Barratier
Jean-Louis Barrault
Marie-Christine Barrault
Gérard Barray
Adriana Barraza
Bruno Barreto
Fábio Barreto
Lima Barreto
Claudia Barrett
Michel Barrette
Barbara Barrie
Chris Barrie
Elaine Barrie
Wendy Barrie
Edgar Barrier
Harry Barris
Steve Barron
Alba Raquel Barros
Diana Barrows
George Barrows
Gene Barry
Jason Barry
Phyllis Barry
Raymond J. Barry
Thom Barry
Tony Barry
Drew Barrymore
Ethel Barrymore
John Barrymore
John Drew Barrymore
Lionel Barrymore
Eddie Barth
Justin Bartha
Richard Barthelmess
Sophie Barthes
Freddie Bartholomew
Andrzej Bartkowiak
Bonnie Bartlett
Peter Bartlett
Laurie Bartram
Billy Barty
Jahnu Barua
Jamuna Barua
P.C. Barua
Shakuntala Barua
Jay Baruchel
Bhakti Barve
Mukta Barve
Sunil Barve
Léon Bary
Mikhail Baryshnikov
David Alan Basche
Paz Bascuñán
Richard Basehart
Aleksandr Bashirov
Oleg Basilashvili
Kim Basinger
James Baskett
Vladimir Basov
Alfie Bass
Jules Bass
Saul Bass
Albert Bassermann
Angela Bassett
Linda Bassett
Annalise Basso
Gabriel Basso
Alexandra Bastedo
Steve Bastoni
Othon Bastos
Anurag Basu
Bipasha Basu
Ravi Baswani
Aleksey Batalov
Nikolai Batalov
Beatriz Batarda
Mengke Bateer
Jason Bateman
Talitha Bateman
Alan Bates
Barbara Bates
Jeanne Bates
Kathy Bates
Michael Bates
Randall Batinkoff
Guillermo Battaglia
Carlo Battisti
Giuseppe Battiston
Patrick Bauchau
Vanessa Bauche
Cate Bauer
Chris Bauer
Steven Bauer
Noah Baumbach
Joséphine de La Baume
Harry Baur
Aurora Bautista
Dave Bautista
Mario Bava
Barbara Baxley
Anne Baxter
John Baxter
Keith Baxter
Kirk Baxter
Warner Baxter
Michael Bay
Susan Bay
Sareh Bayat
Nathalie Baye
Samuel Bayer
Vanessa Bayer
Wally Bayola
J.A. Bayona
Relja Bašić
Adam Beach
Michael Beach
Stephanie Beacham
Kate Beahan
Edith Bouvier Beale
Edith Ewing Bouvier Beale
Simon Russell Beale
Jennifer Beals
Orson Bean
Sean Bean
Matthew Beard
Stuart Beattie
Ned Beatty
Robert Beatty
Warren Beatty
William Beaudine
Harry Beaumont
Kathryn Beaumont
Susan Beaumont
Xavier Beauvois
Jim Beaver
Louise Beavers
George Beban
Tereza Bebarová
Lili Bech
John Beck
Julian Beck
Kimberly Beck
Graham Beckel
Ben Becker
Harold Becker
Jacques Becker
Jean Becker
Rolf Becker
Walt Becker
Wolfgang Becker
Scotty Beckett
Victoria Beckham
Kate Beckinsale
Reginald Beckwith
Bonnie Bedelia
Barbara Bedford
Brian Bedford
Kabir Bedi
Kenny Bee
Ford Beebe
Noah Beery
Wallace Beery
Damon Beesley
Ed Begley
Ed (Jr.) Begley
Jr. Ed Begley
Mumtaz Begum
Nicole Beharie
Briony Behets
Kanu Behl
Liu Bei
Wangchao Bei
Jean-Jacques Beineix
Bérénice Bejo
Leïla Bekhti
Timur Bekmambetov
Frédérique Bel
Barbara Bel Geddes
Harry Belafonte
Charles Belcher
Ashley Bell
Emma Bell
Jamie Bell
Jillian Bell
Kristen Bell
Lake Bell
Marie Bell
Monta Bell
Tobin Bell
Zoë Bell
Bill Bellamy
Madge Bellamy
Ralph Bellamy
Camilla Belle
Kathleen Beller
Tony Bellew
Agostina Belli
Cal Bellini
Alberto Bello
Maria Bello
Michelle Bello
Marco Bellocchio
Gil Bellows
Monica Bellucci
Jean-Paul Belmondo
Véra Belmont
Natalya Belokhvostikova
Vladimir Belokurov
Yuri Belov
Robert Beltran
Andréa Beltrão
James Belushi
John Belushi
Lucas Belvaux
Rémy Belvaux
Yury Belyayev
Galina Belyayeva
Niu Ben
El Hedi Ben Salem
Bea Benaderet
Memo Benassi
Adel Bencherif
Robert Benchley
William Bendix
Carmelo Bene
László Benedek
Shyam Benegal
Adriana Benetti
Yves Beneyton
Norma Bengell
Valérie Benguigui
Roberto Benigni
Annette Bening
André Benjamin
Joseph Benjamin
Paul Benjamin
Richard Benjamin
David Bennent
Heinz Bennent
Spencer Gordon Bennet
Belle Bennett
Bruce Bennett
Compton Bennett
Constance Bennett
Eliza Bennett
Enid Bennett
Haley Bennett
Hywel Bennett
Jeff Bennett
Jimmy Bennett
Joan Bennett
Jonathan Bennett
Manu Bennett
Richard Bennett
Jack Benny
Melissa Benoist
Martin Benrath
Ashley Benson
Frank Benson
Jodi Benson
Robby Benson
Shaun Benson
Fabrizio Bentivoglio
Thomas Bentley
Wes Bentley
Robert Benton
Susanne Benton
Femi Benussi
Julie Benz
Murilo Benício
Iris Berben
Emmanuelle Bercot
Blaze Berdahl
Laxmikant Berde
Katalin Berek
Tom Berenger
Marisa Berenson
Bruce Beresford
Filip Berg
Peter Berg
Sonia Bergamasco
Teresa Berganza
Candice Bergen
Polly Bergen
Grete Berger
Helmut Berger
Ludwig Berger
Nicole Berger
Pablo Berger
Senta Berger
Éric Berger
Thommy Berggren
Hiroko Berghauer
Herbert Berghof
Patrick Bergin
Emily Bergl
Andrew Bergman
Anna Bergman
Henry Bergman
Ingmar Bergman
Ingrid Bergman
Mary Kay Bergman
Mats Bergman
Sandahl Bergman
Elisabeth Bergner
Àstrid Bergès-Frisbey
Francine Bergé
William Berke
Christian Berkel
Busby Berkeley
Xander Berkeley
Steven Berkoff
Greg Berlanti
Milton Berle
Abby Berlin
Brigid Berlin
Jeannie Berlin
Charles Berling
François Berléand
Monty Berman
Ted Berman
Gil Bernal
Ishmael Bernal
Joyce Bernal
Paul Bernard
Raymond Bernard
Nerio Bernardi
Edward Bernds
Sara Berner
Sandra Bernhard
Curtis Bernhardt
Kevin Bernhardt
Mélanie Bernier
Corbin Bernsen
Assaf Bernstein
